,lat,lon,city,country,temp (f),humidity (%),cloudiness (%),wind speed (mph)
0,-71.97,164.16,bluff,nz,52.0,82,95,1.99
1,-81.64,-48.8,ushuaia,ar,53.08,58,40,11.41
